epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,60166.5,1.55743,5.27532,1.17881,0.44456,0.34209,0.34518,0.19361,1.45313,4.90759,1.14245,0.000925051,0.000925051,0.000925051
43,61391.6,1.55342,5.28007,1.17377,0.46147,0.34011,0.3473,0.19393,1.45126,4.9003,1.14211,0.000921462,0.000921462,0.000921462
44,62615.8,1.5448,5.23814,1.17408,0.44569,0.34242,0.34429,0.19258,1.44954,4.88916,1.14348,0.000917798,0.000917798,0.000917798
45,63839.5,1.54688,5.25582,1.17522,0.45382,0.34719,0.35104,0.19602,1.44427,4.8763,1.14184,0.000914058,0.000914058,0.000914058
46,65066.1,1.54647,5.2216,1.17279,0.44948,0.35112,0.35398,0.1972,1.44409,4.83668,1.14295,0.000910244,0.000910244,0.000910244
47,66288.6,1.5405,5.19831,1.17007,0.46297,0.34844,0.35599,0.20016,1.43699,4.82377,1.14173,0.000906356,0.000906356,0.000906356
48,67479.6,1.53344,5.18445,1.17082,0.47024,0.34813,0.35619,0.19895,1.43973,4.82709,1.14063,0.000902396,0.000902396,0.000902396
49,68663.1,1.53507,5.15456,1.16695,0.47748,0.34759,0.35745,0.20002,1.43577,4.80157,1.13537,0.000898364,0.000898364,0.000898364
50,69835,1.5386,5.17238,1.16961,0.46237,0.34589,0.35859,0.20167,1.4339,4.805,1.13711,0.000894261,0.000894261,0.000894261
51,71007.3,1.52912,5.09959,1.16575,0.45702,0.35875,0.36332,0.20428,1.43263,4.77248,1.13859,0.000890087,0.000890087,0.000890087
52,72182.3,1.53208,5.12319,1.16566,0.46927,0.35144,0.36008,0.20265,1.43057,4.77563,1.13457,0.000885845,0.000885845,0.000885845
53,73353.9,1.52579,5.09555,1.1673,0.47287,0.35836,0.36663,0.20715,1.42618,4.74178,1.13572,0.000881534,0.000881534,0.000881534
54,74525.9,1.52467,5.0742,1.16397,0.47253,0.35659,0.36499,0.20606,1.42439,4.74205,1.1332,0.000877155,0.000877155,0.000877155
55,75710.6,1.52032,5.05583,1.16091,0.47919,0.34927,0.36521,0.20753,1.41926,4.73779,1.132,0.000872709,0.000872709,0.000872709
56,76879.4,1.51833,5.04185,1.16506,0.47381,0.35159,0.36555,0.20683,1.42148,4.73682,1.13344,0.000868198,0.000868198,0.000868198
57,78033.5,1.52039,5.04945,1.16489,0.48341,0.35068,0.36853,0.20963,1.41664,4.71901,1.13084,0.000863622,0.000863622,0.000863622
58,79175.9,1.52501,5.04364,1.16219,0.47623,0.35806,0.36822,0.20811,1.41685,4.71352,1.13056,0.000858982,0.000858982,0.000858982
59,80313.7,1.50715,4.99051,1.15908,0.47429,0.36132,0.37177,0.21073,1.4129,4.69865,1.13048,0.000854279,0.000854279,0.000854279
60,81480.7,1.51055,5.00995,1.16136,0.48183,0.36089,0.36994,0.20999,1.41532,4.69246,1.12935,0.000849514,0.000849514,0.000849514
61,82648.9,1.50946,4.97037,1.15735,0.47687,0.35903,0.37079,0.21011,1.41332,4.68731,1.12846,0.000844687,0.000844687,0.000844687
62,83815.5,1.50231,4.97709,1.15915,0.47709,0.36229,0.37212,0.21114,1.41268,4.6815,1.13014,0.000839801,0.000839801,0.000839801
63,84977.2,1.50546,4.96693,1.15845,0.49013,0.36175,0.37616,0.2138,1.40739,4.66126,1.1277,0.000834856,0.000834856,0.000834856
64,86147.8,1.5073,4.96716,1.16124,0.48967,0.36662,0.37622,0.2139,1.40254,4.66178,1.12687,0.000829852,0.000829852,0.000829852
65,87312.2,1.49534,4.91987,1.15596,0.49556,0.36716,0.37909,0.21553,1.40423,4.65281,1.12751,0.000824792,0.000824792,0.000824792
66,88479,1.49872,4.9388,1.15597,0.48797,0.36946,0.37998,0.21593,1.40093,4.63542,1.12598,0.000819675,0.000819675,0.000819675
67,89650.1,1.4997,4.90894,1.1539,0.49829,0.36708,0.37868,0.21593,1.39945,4.62305,1.12484,0.000814503,0.000814503,0.000814503
68,90819.5,1.49484,4.8824,1.15501,0.50407,0.36458,0.37861,0.21704,1.39613,4.62594,1.12354,0.000809278,0.000809278,0.000809278
69,91983.9,1.49426,4.89762,1.15325,0.47429,0.37115,0.38028,0.21625,1.39665,4.60258,1.12322,0.000803999,0.000803999,0.000803999
70,93149.1,1.49451,4.8914,1.15366,0.48259,0.37333,0.38152,0.21693,1.39695,4.60611,1.12348,0.000798669,0.000798669,0.000798669
71,94311.3,1.49418,4.86531,1.1529,0.49656,0.36988,0.38637,0.22018,1.39371,4.59611,1.1223,0.000793288,0.000793288,0.000793288
72,95475.1,1.48788,4.86366,1.15026,0.48873,0.37106,0.38301,0.21872,1.39041,4.58721,1.12171,0.000787858,0.000787858,0.000787858
73,96638.1,1.47885,4.84359,1.15099,0.48981,0.37297,0.38451,0.21988,1.39015,4.58977,1.12118,0.000782379,0.000782379,0.000782379
74,97804.1,1.48362,4.83634,1.15169,0.49511,0.36942,0.38556,0.22089,1.39048,4.57909,1.12158,0.000776852,0.000776852,0.000776852
75,98969.7,1.47875,4.83164,1.15232,0.49415,0.37571,0.38527,0.22108,1.38863,4.56954,1.12099,0.00077128,0.00077128,0.00077128
76,100141,1.47675,4.80176,1.15022,0.48863,0.37334,0.38569,0.22032,1.38893,4.56688,1.12158,0.000765662,0.000765662,0.000765662
77,101310,1.48138,4.79412,1.14483,0.48552,0.37789,0.38725,0.22049,1.38958,4.56269,1.1221,0.00076,0.00076,0.00076
78,102485,1.48544,4.80724,1.15181,0.49367,0.37391,0.38799,0.22063,1.38669,4.5582,1.1206,0.000754296,0.000754296,0.000754296
79,105636,1.4853,4.8307,1.15109,0.49058,0.37584,0.38899,0.22151,1.3865,4.5447,1.12009,0.000748549,0.000748549,0.000748549
80,106805,1.47492,4.80019,1.14714,0.49097,0.3715,0.38629,0.22105,1.38654,4.54792,1.12112,0.000742763,0.000742763,0.000742763
81,107969,1.47359,4.7689,1.14871,0.48294,0.37587,0.38795,0.22158,1.38653,4.5406,1.12087,0.000736937,0.000736937,0.000736937
82,109148,1.4709,4.76808,1.14406,0.48901,0.37642,0.38986,0.22319,1.38583,4.53826,1.11971,0.000731073,0.000731073,0.000731073
83,126775,1.47112,4.75717,1.14673,0.49875,0.3716,0.3918,0.22421,1.38395,4.53126,1.11942,0.000725172,0.000725172,0.000725172
